Author Surname   ,Author Forename     ,Order ,Book Title                                                                  ,Genre                 ,read|tone@example.com ,read|simon@example.com ,rating|tone@example.com ,rating|simon@example.com ,Edition                         ,Co Author
Ball             ,Philip              ,      ,Invisible: The History Of the Unseen From Plato to Particle Physics         ,Non-Fiction           ,N                     ,N                      ,                        ,                         ,Paperback                       ,
Banks            ,Iain M.             ,      ,The Hydrogen Sonata                                                         ,Sci-fi                ,N                     ,N                      ,                        ,                         ,Paperback                       ,
Banville         ,John                ,      ,The Sea                                                                     ,Fiction               ,N                     ,N                      ,                        ,                         ,Paperback                       ,
Barter           ,Jessica             ,      ,Lifelong Lies                                                               ,YA Fiction            ,N                     ,N                      ,                        ,                         ,Paperback Gifted                ,
Bates            ,Laura               ,      ,Everyday Sexism                                                             ,Non-Fiction           ,N                     ,N                      ,                        ,                         ,Paperback                       ,
Baxter           ,Stephen             ,      ,Proxima                                                                     ,Sci-fi                ,N                     ,N                      ,                        ,                         ,Paperback 2nd Hand              ,
Beauman          ,Ned                 ,      ,The Teleportation Accident                                                  ,Historical Fiction    ,N                     ,N                      ,                        ,                         ,Paperback                       ,
Beard            ,Henry               ,      ,Bored of the Rings                                                          ,Humour                ,N                     ,N                      ,                        ,                         ,Hardback Clothbound             ,Douglas Kenney
Beazley          ,Mitchell            ,      ,Craft Beer For the People                                                   ,Non-Fiction           ,N                     ,N                      ,                        ,                         ,Hardback                        ,
Behn             ,Aphra               ,      ,Oroonoko and Other Writings                                                 ,Travel                ,Y                     ,N                      ,                        ,                         ,Paperback Oxford Classic        ,
Behn             ,Aphra               ,      ,The Rover                                                                   ,Play                  ,Y                     ,N                      ,                        ,                         ,Paperback                       ,
Bennet           ,Brit                ,      ,The Vanishing Half                                                          ,Fiction               ,N                     ,N                      ,                        ,                         ,Paperback                       ,
Birch            ,Carol               ,      ,Jamragh's Menagerie                                                         ,Historical Fiction    ,Y                     ,N                      ,                      9 ,                         ,Paperback                       ,
Black            ,Holly               ,      ,The Coldest Girl in Coldtown                                                ,YA Fiction            ,N                     ,N                      ,                        ,                         ,Paperback                       ,
